Ticker,Strategy,Total Return [%],Max Drawdown [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio
C,High_Vol,6.137773107824524,14.5624066771009,0.27235422111220603,0.45927203768983904,0.1550132087220718
C,Low_Vol,-4.432180662650426,19.586574535296464,-0.014778416322515265,-0.023355412368302436,-0.0860034818683168
C,Benchmark,145.1596143876954,31.31276613873378,1.259468998349118,1.9021839681661472,1.4729367210204767
UBER,Trend,14.25070284789441,28.262098739437924,0.2869622267933186,0.46553290155399296,0.12317771333771908
UBER,High_Vol,31.733665355670766,15.901355909241119,0.8095292971492312,1.3774086631104219,0.6842561233918109
UBER,Low_Vol,53.547490470938754,18.834924479255,0.7954547013062604,1.2060841208700566,0.9256117765159284
UBER,Benchmark,215.59568503295162,30.588368256768987,1.4474973072361719,2.298170244751379,2.4545043679577265
ABNB,Trend,-5.745435828822664,19.45415782475065,-0.13693462734110898,-0.1855940607902004,-0.0775351442534062
ABNB,High_Vol,-48.43389019589897,57.45961650070418,-0.8069227000111214,-1.0387083829016706,-0.38251539378050214
ABNB,Low_Vol,118.84051517652054,29.156912795527468,1.055503361174535,1.655288436195542,1.1698709470927722
ABNB,Benchmark,18.561890064772673,37.15661372089825,0.39440555120854714,0.5726424627760419,0.20514489176530132
NFLX,Trend,57.42775686498241,14.380566717612009,0.7181590304455924,1.2700188472785403,0.8596883279957989
NFLX,High_Vol,28.557741459526227,7.738661140396147,0.820940532806064,2.214541495281357,1.2755684143923742
NFLX,Low_Vol,-1.6458684457310118,27.652292955448253,0.06219756199171675,0.08649132087094509,-0.022420579240115264
NFLX,Benchmark,281.2276411380307,27.513138257319348,1.7586311849575214,2.8240043099538523,3.300559396219044
SHOP,Trend,19.168470832674377,26.159480457773316,0.29249265937997343,0.5286233369930702,0.17613199798466445
SHOP,High_Vol,2.7498888049784185,9.363479900657815,0.1854146735254618,0.2815292256131851,0.10912320786176427
SHOP,Low_Vol,43.72927140024136,36.561789170810144,0.5504054054394807,0.989230566889632,0.39827337126059753
SHOP,Benchmark,421.34370513721757,42.39418251946958,1.4161887083928264,2.380555921328173,2.7144356212838354
SPY,Trend,25.457958732768475,10.414736480692238,0.8254551044918574,1.3131733840398128,0.5759783550060972
SPY,High_Vol,6.307002319080457,9.268970765109733,0.3594149343704596,0.5670049071600206,0.25012851824054183
SPY,Low_Vol,13.094821974518089,9.641583323449222,0.6062674700208232,0.8712367356108373,0.48948786975901437
SPY,Benchmark,81.15216939951992,18.755238565161513,1.3585309089718955,2.051649752795133,1.5496757363822875
QQQ,Trend,37.089947251107766,7.694159855818178,0.8822136168381777,1.4426046965352783,1.0969988016234402
